imdb_id,calibrated_probability,expected_cost_greenlight,expected_cost_pass,expected_cost_refer,recommended_action,rationale,true_label,genre
tt8093700,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Action
tt0383028,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
tt2980592,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Mystery
tt0101393,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Crime
tt0130018,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Horror
tt0091763,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt1412386,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt5503686,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt8368408,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Action
tt5814060,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt0790686,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt1288558,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt0154506,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0167260,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Adventure
tt0091167,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0096933,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt1196141,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0457430,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Fantasy
tt0120891,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Action
tt0119116,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Adventure
tt0091209,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Horror
tt0783233,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0115610,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Horror
tt0094721,0.6666666865348816,16666665.67325592,66666668.65348816,5000.0,Refer,"Recommended Refer to human reader: at probability 0.667, expected losses from Greenlight ($16.7M) and Pass ($66.7M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Fantasy
tt0118715,0.375,31250000.0,37500000.0,5000.0,Refer,"Recommended Refer to human reader: at probability 0.375, expected losses from Greenlight ($31.2M) and Pass ($37.5M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0272152,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Science Fiction
tt0086927,1.0,0.0,100000000.0,5000.0,Greenlight,Recommended Greenlight: model probability 1.000 of >=2x ROI yields expected loss $0 from Greenlight vs $100.0M from Pass and $5.0K from Refer.,1,Comedy
tt0405296,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Animation
tt1763264,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Horror
tt3640682,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
tt0066921,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Science Fiction
tt0405422,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0212338,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0118607,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
tt0036775,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Crime
tt0070849,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0120177,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Action
tt1129445,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Adventure
tt0058946,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
tt0077928,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0335266,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt1119646,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt1041829,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0780504,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt1502407,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt0093010,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0247425,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0805564,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Comedy
tt0234215,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Adventure
tt0096754,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Adventure
tt5827916,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
tt0164052,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Action
tt0122933,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt1470023,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Action
tt0112857,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Thriller
tt6710474,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Action
tt0099348,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Adventure
tt2837574,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Comedy
tt5592248,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0357413,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt1790809,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Adventure
tt2316204,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Science Fiction
tt0119643,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Fantasy
tt3741834,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0104691,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Action
tt0120738,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Science Fiction
tt9770150,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0134084,0.6666666865348816,16666665.67325592,66666668.65348816,5000.0,Refer,"Recommended Refer to human reader: at probability 0.667, expected losses from Greenlight ($16.7M) and Pass ($66.7M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt0102975,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Science Fiction
tt10343028,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
tt0077681,1.0,0.0,100000000.0,5000.0,Greenlight,Recommended Greenlight: model probability 1.000 of >=2x ROI yields expected loss $0 from Greenlight vs $100.0M from Pass and $5.0K from Refer.,1,Horror
tt0088161,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Comedy
tt0490215,0.375,31250000.0,37500000.0,5000.0,Refer,"Recommended Refer to human reader: at probability 0.375, expected losses from Greenlight ($31.2M) and Pass ($37.5M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
tt2401878,0.7124999761581421,14375001.192092896,71249997.61581421,5000.0,Refer,"Recommended Refer to human reader: at probability 0.712, expected losses from Greenlight ($14.4M) and Pass ($71.2M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Animation
tt15791034,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Horror
tt1742044,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Music
tt0116905,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Drama
tt0258463,0.6666666865348816,16666665.67325592,66666668.65348816,5000.0,Refer,"Recommended Refer to human reader: at probability 0.667, expected losses from Greenlight ($16.7M) and Pass ($66.7M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Action
tt0165710,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Comedy
tt0089218,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Adventure
tt0190590,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Adventure
tt1568911,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,War
tt0443649,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Adventure
tt2120120,0.6666666865348816,16666665.67325592,66666668.65348816,5000.0,Refer,"Recommended Refer to human reader: at probability 0.667, expected losses from Greenlight ($16.7M) and Pass ($66.7M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",1,Action
tt2053425,0.5600000023841858,21999999.88079071,56000000.23841858,5000.0,Refer,"Recommended Refer to human reader: at probability 0.560, expected losses from Greenlight ($22.0M) and Pass ($56.0M) both exceed the human-reader cost ($5.0K). Manual review is preferred.",0,Drama
